State,Category Of Video ,Builder Name,Project Name,City Name,Title ,Youtube Link 
,Influencer Video,, Influencers Video ,,,https://youtu.be/1giMsmabvb8
,Influencer Video,, Influencers Video ,,,https://youtu.be/or9Eng39Qmw
,Influencer Video,, Influencers Video ,,,https://youtu.be/A8A9-pTWl-M
,Influencer Video,, Influencers Video ,,,https://youtu.be/Q24bN5V50LE
,Influencer Video,, Influencers Video ,,,https://youtu.be/SRhGPfsqc5k
,3D Video,, Creative VFX Videos,,,https://youtu.be/G52iwMk4LRg
,Locality Video,,Locality Videos,,,https://youtu.be/gSslNOIz5cs
,Promotional Video,,Promotional Video,,,https://youtu.be/55Us6fMlntY
,Project Showcase,,Lake Grove ,,,https://youtu.be/7FXonbP1bC8
,Aerial View ,,Aerial Video ,,,https://youtu.be/5Ts7Q9xerkE
,Aerial View ,,Aerial Video ,,,https://youtu.be/yA5Tu0J49Cs
,,,,,,
,Construction Update,,Construction Update,,,https://youtu.be/VBo9AQ2CAhU
,Construction Update,,Construction Update,,,https://youtu.be/9zZHyOlqibo
,Project Showcase,,Project Showcase,,,https://youtu.be/M303MAVzgVQ
,Construction Update,,Construction Update,,,https://youtu.be/qVXad0ZAjKc
,Construction Update,,Construction Update,,,https://youtu.be/osFt56cjaDY
,Promotional Video,,Promotional Video,,,https://youtu.be/mmit5bnTG5E
,Construction Timelapse,,Construction Timelapse,,,https://youtu.be/doDgfnvZrjw
,Construction Timelapse,,Construction Timelapse,,,https://youtu.be/ilZAe7AD2DI
,Promotional Video,,Promotional Video,,,https://youtu.be/YAOg6dD7ktU
